	features	QWK	MSE	MAE
0	('essay_set',)	0.9668506838738608	5.3803277015686035	1.4395865201950073
1	('essay_length',)	0.15395462819935124	80.52267456054688	6.141106605529785
2	('avg_sentence_length',)	0.010573199621203955	85.01312255859375	6.277622222900391
3	('avg_word_length',)	0.010845929171487412	84.87764739990234	6.358463764190674
4	('sentiment',)	-0.00016714212398549755	85.51838684082031	6.302937030792236
5	('noun_phrases',)	0.08748814430399798	80.83361053466797	5.991590976715088
6	('syntax_errors',)	0.05544484664852678	83.16437530517578	6.187286853790283
7	('readability_index',)	0.02179617405466161	84.82903289794922	6.167185306549072
8	('difficult_words',)	0.09894603119253498	82.24919128417969	6.478002071380615
9	('essay_set', 'essay_length')	0.9661120704680013	5.6546173095703125	1.4606223106384277
10	('essay_set', 'avg_sentence_length')	0.9481449977868471	6.801224708557129	1.6174044609069824
11	('essay_set', 'avg_word_length')	0.9588067207272223	5.645989418029785	1.5099623203277588
12	('essay_set', 'sentiment')	0.9664317881937338	5.46167516708374	1.4545458555221558
13	('essay_set', 'noun_phrases')	0.9378774693676825	8.01744270324707	1.7579586505889893
14	('essay_set', 'syntax_errors')	0.9644739658812389	5.916759490966797	1.571082592010498
15	('essay_set', 'readability_index')	0.9622212367545122	5.565152168273926	1.4381577968597412
16	('essay_set', 'difficult_words')	0.9305775526586401	8.792756080627441	1.747889757156372
17	('essay_length', 'avg_sentence_length')	0.08493342260315229	81.78496551513672	5.973771572113037
18	('essay_length', 'avg_word_length')	0.16182085241836708	79.80369567871094	6.10622501373291
19	('essay_length', 'sentiment')	0.16603725685157655	79.58737182617188	6.104437828063965
20	('essay_length', 'noun_phrases')	0.16623614161284173	80.25885772705078	6.120680809020996
21	('essay_length', 'syntax_errors')	0.1621705304864164	80.20813751220703	6.121620178222656
22	('essay_length', 'readability_index')	0.17964948652193424	78.0836181640625	6.015177249908447
23	('essay_length', 'difficult_words')	0.18400441133078904	78.62934875488281	6.091082572937012
24	('avg_sentence_length', 'avg_word_length')	0.028577546453304237	84.65667724609375	6.600544452667236
25	('avg_sentence_length', 'sentiment')	0.01104769742644951	84.99834442138672	6.283551216125488
26	('avg_sentence_length', 'noun_phrases')	0.13422685664595824	80.11046600341797	6.081936836242676
27	('avg_sentence_length', 'syntax_errors')	0.04890509241769325	83.43895721435547	6.375768184661865
28	('avg_sentence_length', 'readability_index')	0.03201553564566706	84.06480407714844	6.22831392288208
29	('avg_sentence_length', 'difficult_words')	0.12164228734581561	81.12873840332031	6.421148300170898
30	('avg_word_length', 'sentiment')	0.017325756819488225	85.25981903076172	6.66397762298584
31	('avg_word_length', 'noun_phrases')	0.0834425020491737	82.88536834716797	5.661533832550049
32	('avg_word_length', 'syntax_errors')	0.06925298053078544	83.703857421875	6.63672399520874
33	('avg_word_length', 'readability_index')	0.022253901254617348	84.79597473144531	6.162825107574463
34	('avg_word_length', 'difficult_words')	0.1020694628192167	82.18273162841797	6.498710632324219
35	('sentiment', 'noun_phrases')	0.1149140670064317	80.78658294677734	6.447686672210693
36	('sentiment', 'syntax_errors')	0.046733600989990576	83.34261322021484	6.121187686920166
37	('sentiment', 'readability_index')	0.019609653304520358	84.81941223144531	6.15958309173584
38	('sentiment', 'difficult_words')	0.0780263979602942	83.34009552001953	5.728239059448242
